Produkt,Datum,prognose,lo80,hi80,lo95,hi95
Speiseeis,2026-02-01,151.02946349256285,132.3522555241074,175.44160821496197,124.1458329630101,191.64368451192425
Speiseeis,2026-03-01,152.06598253033962,132.74792534672216,177.52882277008777,124.30469914354715,194.56140348845747
Speiseeis,2026-04-01,153.11610098258538,133.15553486761192,179.64661255267092,124.47698503037753,197.53334584990685
Speiseeis,2026-05-01,154.18008343649376,133.57461587797707,181.79659887307537,124.66191337815404,200.56265155362203
Speiseeis,2026-06-01,155.25820132439725,134.00476245043055,183.9803839157527,124.85880011753419,203.65248009191333
Speisesalz,2025-07-01,131.48593797202236,123.06888610673832,139.39570577490267,118.37115607944129,143.40640172353022
Speisesalz,2025-08-01,131.898248223624,123.17166226922093,140.08228952539213,118.29179347443319,144.22680719146703
Speisesalz,2025-09-01,132.30927370883123,123.28654447939098,140.75484689712022,118.2318209596439,145.02672349571628
Speisesalz,2025-10-01,132.7190263636741,123.41226836526204,141.41465193679488,118.18930290469979,145.80808079000258
Speisesalz,2025-11-01,133.12751794050044,123.54776565191706,142.06278259766592,118.16260283730253,146.57251036617174
Speisesalz,2025-12-01,133.53476001190916,123.69212375758342,142.7001611400902,118.15032177240215,147.32140631663665
Speisesalz,2026-01-01,133.9407639745756,123.84455554191179,143.3275843800603,118.15125204486486,148.0559716935206
Speisesalz,2026-02-01,134.34554105297312,124.00437624763092,143.9457467445172,118.16434212588106,148.7772536842509
Speisesalz,2026-03-01,134.74910230299386,124.17098564567377,144.55525812334432,118.18866938370842,149.4861708430041
Speisesalz,2026-04-01,135.15145861547248,124.34385401399379,145.15665788781834,118.22341869671664,150.18353447003486
Speisesalz,2026-05-01,135.5526207196154,124.52251098746923,145.75042603811187,118.26786544871361,150.8700656089047
Speisesalz,2026-06-01,135.9525991863392,124.7065365898208,146.336992168917,118.32136185434247,151.5464087138193
Sportriegel,2025-07-01,117.68095538687163,109.01523171742339,127.75619661194376,104.90254913768695,133.78036479785757
Sportriegel,2025-08-01,118.01945949367867,109.00250752886397,128.56746827590067,104.74104933176793,134.907434905411
Sportriegel,2025-09-01,118.2611613430691,108.89836084545749,129.28153571164086,104.49203214058967,135.94062717424475
Sportriegel,2025-10-01,118.59088989043317,108.8943419341301,130.07068303974947,104.34893300033089,137.04228488294558
Sportriegel,2025-11-01,118.84537803616709,108.82114158750622,130.78244249706736,104.14059146195554,138.06842153719663
Sportriegel,2025-12-01,119.1688801963813,108.82499034154124,131.55533375530976,104.01325252735411,139.15230701879443
Sportriegel,2026-01-01,119.4339719523077,108.77655815276223,132.26686114087244,103.83739092274021,140.17589749199178
Sportriegel,2026-02-01,119.7532454167065,108.78773572051269,133.02801290677866,103.7239305000729,141.24790946803031
Sportriegel,2026-03-01,120.02724659398937,108.75949297708934,133.74072260091415,103.57451882239,142.2721874165978
Sportriegel,2026-04-01,120.34385898034293,108.77759826415117,134.49369198367398,103.47350069624568,143.33701270515505
Sportriegel,2026-05-01,120.62545663681934,108.76607963229127,135.20861984666857,103.34599425813343,144.36442859841637
Sportriegel,2026-06-01,120.94064019873322,108.79077522119701,135.95625923959832,103.25626213252838,145.4258770994436
Stangenspargel oder andere Gemüsekonserve,2025-07-01,193.75469137551133,165.3261695918102,233.16780604401237,153.28202775889275,260.8358449427016
Stangenspargel oder andere Gemüsekonserve,2025-08-01,196.5040133131381,166.41687445045818,238.92991400404685,153.79938604079697,269.2121870866458
Stangenspargel oder andere Gemüsekonserve,2025-09-01,199.32841393955928,167.55457070377366,244.9003213043223,154.36356904855106,277.9817104975585
Stangenspargel oder andere Gemüsekonserve,2025-10-01,202.23095422921335,168.73750381533918,251.09604465477952,154.9712044708526,287.18272787305835
Stangenspargel oder andere Gemüsekonserve,2025-11-01,205.21486225461302,169.96434946925473,257.53494223243433,155.61954272513086,296.8567616258198
Stangenspargel oder andere Gemüsekonserve,2025-12-01,208.28354467953577,171.23412915760588,264.23593467230796,156.30632761732238,307.04921290570843
Stangenspargel oder andere Gemüsekonserve,2026-01-01,211.44059921034068,172.5461474806834,271.21922238417983,157.02969987931758,317.8100913100884
Stangenspargel oder andere Gemüsekonserve,2026-02-01,214.68982809958166,173.89994486129848,278.50650833556296,157.78812401026067,329.1948342893659
Stangenspargel oder andere Gemüsekonserve,2026-03-01,218.03525280678434,175.29526142737188,286.1212339110909,158.58033196799948,341.2652468771097
Stangenspargel oder andere Gemüsekonserve,2026-04-01,221.48112993359004,176.73200913662535,294.08883477326157,159.40527926226673,354.09059645299106
Stangenspargel oder andere Gemüsekonserve,2026-05-01,225.03196856380805,178.21025008701213,302.4370235492734,160.26211032204168,367.7489037817328
Stangenspargel oder andere Gemüsekonserve,2026-06-01,228.69254915480238,179.73017954230735,311.196106525584,161.15013089887586,382.32848090839275
"Säuglingsmilchnahrung, Pulverform",2025-07-01,120.93733170327246,105.53223710593129,141.2600261057993,98.80285743322162,154.8652290603044
"Säuglingsmilchnahrung, Pulverform",2025-08-01,120.91283988365873,104.51482061085837,143.0012241027639,97.44407490235129,158.0828008712016
"Säuglingsmilchnahrung, Pulverform",2025-09-01,120.89012825702159,103.52471799324518,144.7719284988348,96.13149680159914,161.40612441347128
"Säuglingsmilchnahrung, Pulverform",2025-10-01,120.8690668634039,102.5618364419554,146.57067174691227,94.86415396730173,164.83624499572258
"Säuglingsmilchnahrung, Pulverform",2025-11-01,120.84953530944539,101.62589992024387,148.3961761457316,93.64087031362948,168.37458783028953
"Säuglingsmilchnahrung, Pulverform",2025-12-01,120.83142205312691,100.71649020349078,150.24733198325336,92.46032407991711,172.02294144307928
"Säuglingsmilchnahrung, Pulverform",2026-01-01,120.81462374354207,99.83308045383207,152.12317869617078,91.32109627882437,175.78344575067166
"Säuglingsmilchnahrung, Pulverform",2026-02-01,120.79904461122845,98.97506257469566,154.022888650498,90.22170874630255,179.65858439139754
"Säuglingsmilchnahrung, Pulverform",2026-03-01,120.78459590500005,98.14176941720963,155.94575316560415,89.16065380212126,183.65118090979593
"Säuglingsmilchnahrung, Pulverform",2026-04-01,120.77119537160392,97.33249274348316,157.8911704449309,88.136417173685075,187.76439844843085
"Säuglingsmilchnahrung, Pulverform",2026-05-01,120.75876677477831,96.54649770155721,159.85863512310206,87.14749552963994,192.00174266867884
"Säuglingsmilchnahrung, Pulverform",2026-06-01,120.74723945064429,95.78303443740057,161.84772918360463,86.19240971371741,196.3670676907405
"Süße Mandeln, Kokosraspeln oder Ähnliches",2025-07-01,107.29999999999998,100.37967607310442,114.4020020820885,96.79067740683992,118.23429573223538
"Süße Mandeln, Kokosraspeln oder Ähnliches",2025-08-01,107.29999999999998,100.12203215739164,114.67362213968559,96.4024040371339,118.65526426816359
"Süße Mandeln, Kokosraspeln oder Ähnliches",2025-09-01,107.29999999999998,99.87368583208308,114.93594473539255,96.02835396220722,119.06201021362209
"Süße Mandeln, Kokosraspeln oder Ähnliches",2025-10-01,107.29999999999998,99.63372140177957,115.18988556462062,95.66712662563339,119.45593412519223
"Süße Mandeln, Kokosraspeln oder Ähnliches",2025-11-01,107.29999999999998,99.40136429836589,115.43621919549715,95.31753731814842,119.83822071229302
"Süße Mandeln, Kokosraspeln oder Ähnliches",2025-12-01,107.29999999999998,99.17595238599294,115.6756077638833,94.9785732906694,120.20988272416251
